date,country,popdata2018,new_cases,cumulative_cases,new_deaths,cumulative_deaths
12/31/2019,Canada,37058856,0,0,0,0
1/1/2020,Canada,37058856,0,0,0,0
1/2/2020,Canada,37058856,0,0,0,0
1/3/2020,Canada,37058856,0,0,0,0
1/4/2020,Canada,37058856,0,0,0,0
1/5/2020,Canada,37058856,0,0,0,0
1/6/2020,Canada,37058856,0,0,0,0
1/7/2020,Canada,37058856,0,0,0,0
1/8/2020,Canada,37058856,0,0,0,0
1/9/2020,Canada,37058856,0,0,0,0
1/10/2020,Canada,37058856,0,0,0,0
1/11/2020,Canada,37058856,0,0,0,0
1/12/2020,Canada,37058856,0,0,0,0
1/13/2020,Canada,37058856,0,0,0,0
1/14/2020,Canada,37058856,0,0,0,0
1/15/2020,Canada,37058856,0,0,0,0
1/16/2020,Canada,37058856,0,0,0,0
1/17/2020,Canada,37058856,0,0,0,0
1/18/2020,Canada,37058856,0,0,0,0
1/19/2020,Canada,37058856,0,0,0,0
1/20/2020,Canada,37058856,0,0,0,0
1/21/2020,Canada,37058856,0,0,0,0
1/22/2020,Canada,37058856,0,0,0,0
1/23/2020,Canada,37058856,0,0,0,0
1/24/2020,Canada,37058856,0,0,0,0
1/25/2020,Canada,37058856,0,0,0,0
1/26/2020,Canada,37058856,1,1,0,0
1/27/2020,Canada,37058856,0,1,0,0
1/28/2020,Canada,37058856,1,2,0,0
1/29/2020,Canada,37058856,1,3,0,0
1/30/2020,Canada,37058856,0,3,0,0
1/31/2020,Canada,37058856,0,3,0,0
2/1/2020,Canada,37058856,1,4,0,0
2/2/2020,Canada,37058856,0,4,0,0
2/3/2020,Canada,37058856,0,4,0,0
2/4/2020,Canada,37058856,0,4,0,0
2/5/2020,Canada,37058856,1,5,0,0
2/6/2020,Canada,37058856,0,5,0,0
2/7/2020,Canada,37058856,2,7,0,0
2/8/2020,Canada,37058856,0,7,0,0
2/9/2020,Canada,37058856,0,7,0,0
2/10/2020,Canada,37058856,0,7,0,0
2/11/2020,Canada,37058856,0,7,0,0
2/12/2020,Canada,37058856,0,7,0,0
2/13/2020,Canada,37058856,0,7,0,0
2/14/2020,Canada,37058856,0,7,0,0
2/15/2020,Canada,37058856,1,8,0,0
2/16/2020,Canada,37058856,0,8,0,0
2/17/2020,Canada,37058856,0,8,0,0
2/18/2020,Canada,37058856,0,8,0,0
2/19/2020,Canada,37058856,0,8,0,0
2/20/2020,Canada,37058856,0,8,0,0
2/21/2020,Canada,37058856,1,9,0,0
2/22/2020,Canada,37058856,0,9,0,0
2/23/2020,Canada,37058856,0,9,0,0
2/24/2020,Canada,37058856,0,9,0,0
2/25/2020,Canada,37058856,2,11,0,0
2/26/2020,Canada,37058856,0,11,0,0
2/27/2020,Canada,37058856,1,12,0,0
2/28/2020,Canada,37058856,2,14,0,0
2/29/2020,Canada,37058856,2,16,0,0
3/1/2020,Canada,37058856,4,20,0,0
3/2/2020,Canada,37058856,4,24,0,0
3/3/2020,Canada,37058856,3,27,0,0
3/4/2020,Canada,37058856,3,30,0,0
3/5/2020,Canada,37058856,3,33,0,0
3/6/2020,Canada,37058856,12,45,0,0
3/7/2020,Canada,37058856,6,51,0,0
3/8/2020,Canada,37058856,6,57,0,0
3/9/2020,Canada,37058856,5,62,0,0
3/10/2020,Canada,37058856,15,77,1,1
3/11/2020,Canada,37058856,16,93,0,1
3/12/2020,Canada,37058856,10,103,0,1
3/13/2020,Canada,37058856,35,138,0,1
3/14/2020,Canada,37058856,38,176,0,1
3/15/2020,Canada,37058856,68,244,0,1
3/16/2020,Canada,37058856,60,304,0,1
3/17/2020,Canada,37058856,120,424,3,4
